owner,name,full_name,stars,releases,age_years,ck_class_count,loc_total,cbo_mean,cbo_median,cbo_stdev,dit_mean,dit_median,dit_stdev,lcom_mean,lcom_median,lcom_stdev,loc_mean,loc_median,loc_stdev
bitcoinj,bitcoinj,bitcoinj/bitcoinj,5216,14,12.39,625,46448,7.1264,4.0,10.7649,1.7248,1.0,2.7302,87.9696,0.0,691.109,74.3168,20.0,210.8549
hustcc,JS-Sorting-Algorithm,hustcc/JS-Sorting-Algorithm,5193,0,9.22,12,389,3.5833,3.0,3.5227,1.0,1.0,0.0,2.8333,0.5,4.2785,32.4167,31.0,18.3596
brianfrankcooper,YCSB,brianfrankcooper/YCSB,5204,55,15.97,236,22410,7.0551,3.0,7.5421,1.6356,1.0,0.7497,7.8517,0.0,19.479,94.9576,47.0,109.6329
zhanglei-workspace,shopping-management-system,zhanglei-workspace/shopping-management-system,5191,0,10.4,97,5353,3.5155,3.0,3.5728,1.3608,1.0,0.6609,76.3299,3.0,589.7053,55.1856,34.0,83.0901
thinkaurelius,titan,thinkaurelius/titan,5235,0,14.12,1594,71163,5.8645,3.0,8.6502,1.3695,1.0,0.8059,20.5056,1.0,117.1953,44.6443,14.0,125.7686
Clans,FloatingActionButton,Clans/FloatingActionButton,5184,14,11.06,47,2805,4.6383,2.0,7.2974,1.383,1.0,0.7594,139.6809,0.0,684.4441,59.6809,10.0,175.4195
oshi,oshi,oshi/oshi,5195,172,14.16,894,51462,5.1879,4.0,5.3074,1.6051,1.0,1.1642,32.3132,1.0,122.0529,57.5638,29.5,76.2313
reactor,reactor-core,reactor/reactor-core,5217,224,10.41,2245,202714,7.1982,7.0,8.1993,1.6824,1.0,1.6319,121.6053,1.0,2142.2575,90.2958,32.0,155.0018
Exrick,xpay,Exrick/xpay,5180,0,8.33,21,1449,6.4286,5.0,6.7158,1.0,1.0,0.0,93.4286,1.0,281.5517,69.0,37.0,95.0298
android,views-widgets-samples,android/views-widgets-samples,5178,0,6.59,152,7344,4.0197,2.0,4.2573,1.7303,1.0,1.1808,7.0132,0.0,20.9639,48.3158,17.0,81.294
killme2008,aviatorscript,killme2008/aviatorscript,5185,52,15.03,524,37528,4.6279,3.0,6.704,1.4981,1.0,0.7753,63.1527,1.0,382.4336,71.6183,18.0,186.5688
square,otto,square/otto,5133,0,13.78,85,1987,2.4353,1.0,3.1114,1.3882,1.0,0.869,3.5529,0.0,14.5348,23.3765,8.0,45.5412
baomidou,dynamic-datasource,baomidou/dynamic-datasource,5162,19,7.95,178,5219,5.4101,4.0,4.7671,1.1404,1.0,0.4828,2.3258,0.0,8.1057,29.3202,21.0,36.6919
deathmarine,Luyten,deathmarine/Luyten,5115,17,12.75,129,6750,2.3488,1.0,4.1083,1.5426,1.0,1.5848,15.4496,0.0,65.1635,52.3256,13.0,124.8936
careercup,ctci,careercup/ctci,5143,0,13.05,311,11244,1.9582,2.0,1.4661,1.119,1.0,0.4341,5.0965,1.0,17.8458,36.1543,28.0,33.1958
natario1,CameraView,natario1/CameraView,5124,42,8.73,534,21155,5.5974,3.0,8.0618,1.3745,1.0,0.7358,34.7622,0.0,335.3235,39.6161,11.0,102.1284
tianshiyeben,wgcloud,tianshiyeben/wgcloud,5121,31,7.23,118,6105,6.0424,3.0,7.7168,1.1949,1.0,0.3961,34.5424,9.5,49.4073,51.7373,37.5,56.1086
youlookwhat,DesignPattern,youlookwhat/DesignPattern,5104,0,9.47,197,2603,2.5381,2.0,3.5999,1.2792,1.0,0.4486,1.4264,0.0,4.5443,13.2132,8.0,13.2161
spring-projects,spring-authorization-server,spring-projects/spring-authorization-server,5085,85,6.06,674,37128,10.2745,7.0,10.2098,1.3947,1.0,0.8235,16.8131,1.0,96.9426,55.0861,28.0,74.3228
sofastack,sofa-boot,sofastack/sofa-boot,5075,83,8.02,1181,32830,5.1533,3.0,5.4539,1.1981,1.0,0.5347,17.8188,0.0,246.1189,27.7985,12.0,46.3997
xuexiangjys,XUI,xuexiangjys/XUI,5073,23,7.26,1657,91066,5.7333,3.0,6.4342,1.659,1.0,0.9446,52.7103,1.0,351.9592,54.9584,16.0,118.3612
ageerle,ruoyi-ai,ageerle/ruoyi-ai,5072,6,2.23,910,27206,6.9791,5.0,7.4194,1.2791,1.0,0.5995,9.6132,0.0,35.8193,29.8967,13.0,46.3479
Sayi,poi-tl,Sayi/poi-tl,5066,14,11.06,525,22801,6.3981,4.0,7.5985,1.2057,1.0,0.527,89.6552,0.0,1505.7609,43.4305,23.0,69.6877
OpenTSDB,opentsdb,OpenTSDB/opentsdb,5063,27,15.62,958,104636,7.1399,4.0,7.6742,1.2839,1.0,0.8011,64.8758,0.0,365.7923,109.2234,23.0,217.0164
javastacks,spring-boot-best-practice,javastacks/spring-boot-best-practice,5046,1,7.42,195,2396,5.0,4.0,3.6332,1.0923,1.0,0.3385,3.2615,0.0,25.6008,12.2872,8.0,13.7825
apache,calcite,apache/calcite,5106,0,11.79,5761,378237,7.6952,5.0,10.2822,1.7006,1.0,2.1125,404.026,1.0,8706.0166,65.6547,18.0,261.5256
jankotek,mapdb,jankotek/mapdb,5040,0,13.65,263,20198,3.2395,2.0,4.1078,2.0228,1.0,3.5465,81.8479,0.0,451.8973,76.7985,18.0,197.9331
2227324689,gpmall,2227324689/gpmall,5042,0,6.73,424,8865,4.9788,3.0,5.9572,1.3608,1.0,0.6439,8.1698,0.0,43.2902,20.908,9.0,30.8905
wequick,Small,wequick/Small,5037,25,10.37,185,7726,3.8,2.0,4.9394,1.4757,1.0,0.8257,20.1676,0.0,142.9105,41.7622,6.0,110.5119
Trinea,android-common,Trinea/android-common,5018,1,13.81,110,6716,4.4455,3.0,4.2246,1.2455,1.0,0.6207,43.0636,1.0,150.1976,61.0545,22.0,91.5044
yipianfengye,android-zxingLibrary,yipianfengye/android-zxingLibrary,5013,0,9.71,52,2018,4.7115,3.0,5.6546,1.3269,1.0,0.5792,5.6346,0.0,15.1607,38.8077,15.5,48.6819
youlookwhat,CloudReader,youlookwhat/CloudReader,5007,26,9.39,492,19393,4.748,3.0,5.5107,1.4553,1.0,0.9218,19.4126,0.0,84.1617,39.4167,16.0,57.2502
bisq-network,bisq,bisq-network/bisq,5074,143,12.08,3715,178868,7.4886,4.0,9.4906,1.7499,1.0,1.1699,30.1655,1.0,368.1297,48.1475,19.0,97.852
HeliBorg,HeliBoard,HeliBorg/HeliBoard,5003,63,4.09,239,22663,6.6695,4.0,9.0796,1.4644,1.0,0.9135,74.8494,1.0,275.5637,94.8243,42.0,169.8126
rubensousa,GravitySnapHelper,rubensousa/GravitySnapHelper,4996,15,9.61,7,600,6.8571,6.0,5.7179,1.5714,1.0,0.7284,66.0,1.0,152.3727,85.7143,17.0,137.3241
line,armeria,line/armeria,5100,270,10.4,6837,314730,6.4422,5.0,6.5042,1.3111,1.0,0.8401,32.6858,0.0,258.1134,46.0333,18.0,79.0389
DingMouRen,LayoutManagerGroup,DingMouRen/LayoutManagerGroup,4985,0,7.95,63,2285,4.9524,3.0,4.2926,1.5714,2.0,0.526,9.1429,0.0,38.4926,36.2698,15.0,48.5541
spring-attic,spring-mvc-showcase,spring-attic/spring-mvc-showcase,4984,0,14.85,58,1281,5.1724,5.0,3.6537,1.2069,1.0,0.4456,9.4483,0.0,23.6615,22.0862,18.0,18.86
JodaOrg,joda-time,JodaOrg/joda-time,4987,51,14.9,557,91632,8.5799,6.0,8.1815,2.2837,2.0,1.8707,295.3788,10.0,783.8593,164.5099,56.0,247.2897
orhanobut,dialogplus,orhanobut/dialogplus,4972,9,11.33,29,1047,5.2414,3.0,6.1848,1.0345,1.0,0.1825,57.8621,0.0,250.7365,36.1034,8.0,62.8371
roncoo,roncoo-pay,roncoo/roncoo-pay,4969,0,9.72,394,19910,5.2056,3.0,6.2145,1.2817,1.0,0.6563,62.9365,3.0,312.4031,50.533,28.0,82.9759
apache,maven,apache/maven,5014,30,16.89,3755,167608,5.3137,3.0,7.1763,1.5342,1.0,0.8124,46.0021,0.0,579.7695,44.636,19.0,91.0559
alibaba,UltraViewPager,alibaba/UltraViewPager,4964,10,9.03,24,1518,5.2083,2.0,6.7081,1.375,1.0,0.4841,58.375,0.0,122.2527,63.25,13.5,99.0367
LWJGL,lwjgl3,LWJGL/lwjgl3,5317,23,13.3,10652,1153903,6.8198,6.0,8.1492,2.3595,2.0,1.2312,1011.4322,91.0,21097.0873,108.3274,52.0,221.9646
spring-cloud,spring-cloud-netflix,spring-cloud/spring-cloud-netflix,4960,30,11.75,239,8028,7.364,6.0,6.7895,1.1925,1.0,0.5058,94.4017,0.0,941.519,33.59,12.0,63.2428
react-native-config,react-native-config,react-native-config/react-native-config,4951,33,10.13,20,443,4.6,4.0,2.8705,1.5,1.0,0.6708,1.95,1.0,3.3686,22.15,13.5,20.0232
frogermcs,InstaMaterial,frogermcs/InstaMaterial,4952,1,11.41,80,2223,4.7875,2.0,6.3378,1.5375,1.0,0.8506,9.9375,0.0,29.397,27.7875,7.0,43.1942
react-native-webrtc,react-native-webrtc,react-native-webrtc/react-native-webrtc,4948,82,10.54,67,4140,6.1194,4.0,9.3514,1.1493,1.0,0.3563,8.6567,0.0,29.1556,61.791,18.0,154.6868
Devlight,NavigationTabBar,Devlight/NavigationTabBar,4934,13,10.03,58,2538,4.0172,2.0,5.9582,1.3103,1.0,0.5635,57.5,0.5,385.905,43.7586,10.0,150.7618
amitshekhariitbhu,RxJava2-Android-Samples,amitshekhariitbhu/RxJava2-Android-Samples,4923,0,9.62,185,3992,3.6649,2.0,4.3628,1.2541,1.0,0.4595,6.2865,0.0,41.619,21.5784,15.0,24.0368
angryip,ipscan,angryip/ipscan,4920,32,14.78,364,12374,5.0632,4.0,4.7877,1.6896,1.0,1.6624,4.3544,0.0,12.7065,33.9945,18.0,40.9391
DiUS,java-faker,DiUS/java-faker,4918,0,14.84,225,6710,4.1156,4.0,6.3683,1.4489,1.0,0.4974,40.7467,0.0,390.3358,29.8222,17.0,49.4905
querydsl,querydsl,querydsl/querydsl,4963,35,14.68,3232,98636,5.1977,3.0,6.1866,1.9867,1.0,2.1386,42.9007,0.0,572.7568,30.5186,12.0,68.2595
rstudio,rstudio,rstudio/rstudio,4982,0,15.34,7170,236382,4.8997,2.0,10.0896,1.277,1.0,0.6364,338.4601,0.0,12878.9897,32.9682,9.0,117.6938
traex,RippleEffect,traex/RippleEffect,4901,0,11.49,19,504,3.4211,2.0,4.9558,1.3684,1.0,0.4824,23.1579,0.0,96.1355,26.5263,5.0,58.2258
fuzhengwei,small-spring,fuzhengwei/small-spring,4902,0,4.9,375,10379,3.472,2.0,4.0118,1.2507,1.0,0.8269,12.704,0.0,64.6503,27.6773,10.0,67.0305
cglib,cglib,cglib/cglib,4897,15,12.03,498,17670,3.2169,1.0,5.3388,1.5321,1.0,1.1582,261.7972,0.0,5172.9694,35.4819,9.0,97.8687
Ramotion,folding-cell-android,Ramotion/folding-cell-android,4890,0,10.02,21,812,4.1429,2.0,4.4109,1.3333,1.0,0.4714,13.381,0.0,36.617,38.6667,10.0,65.7675
reactive-streams,reactive-streams-jvm,reactive-streams/reactive-streams-jvm,4872,0,12.11,459,15738,3.122,3.0,2.6433,1.2767,1.0,0.7974,20.3355,0.0,127.823,34.2876,13.0,84.6559
orientechnologies,orientdb,orientechnologies/orientdb,4951,232,13.33,5108,452803,6.5464,5.0,9.1465,1.6231,1.0,0.962,312.6239,1.0,16210.7136,88.6458,29.0,560.103
mock-server,mockserver,mock-server/mockserver,4862,0,13.12,1109,65134,7.2732,5.0,7.591,1.6871,1.0,1.1133,95.8224,1.0,1162.8252,58.7322,27.0,109.4018
spring-cloud,spring-cloud-gateway,spring-cloud/spring-cloud-gateway,4853,46,9.39,1244,42780,7.0257,5.0,7.4654,1.3658,1.0,0.7768,16.5675,0.0,139.3404,34.3891,18.0,49.8785
zhkl0228,unidbg,zhkl0228/unidbg,4898,16,7.12,1719,94292,5.281,4.0,6.6268,1.612,1.0,1.3065,28.6841,0.0,243.3738,54.8528,15.0,239.8919
mcxiaoke,packer-ng-plugin,mcxiaoke/packer-ng-plugin,4809,1,10.38,31,1776,2.8065,2.0,2.4019,1.3871,1.0,0.868,18.6452,1.0,40.7681,57.2903,29.0,62.2426
Threekiii,Awesome-POC,Threekiii/Awesome-POC,4905,2,4.13,1,42,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0
andkulikov,Transitions-Everywhere,andkulikov/Transitions-Everywhere,4794,23,11.49,193,9485,6.8705,5.0,6.0583,1.6788,1.0,1.343,25.7202,0.0,222.8396,49.1451,13.0,109.25
apache,ignite,apache/ignite,5063,0,11.14,20803,1098071,5.5878,3.0,8.7505,1.6593,1.0,1.5324,495.8426,0.0,64917.5829,52.7843,14.0,437.3881
claritylab,lucida,claritylab/lucida,4788,0,11.91,268,23221,5.9142,4.0,6.8565,1.5448,1.0,0.7834,23.5187,1.0,74.0777,86.6455,39.0,163.7857
micrometer-metrics,micrometer,micrometer-metrics/micrometer,4833,291,9.0,2017,85567,5.7536,4.0,6.6006,1.2895,1.0,0.6541,19.9901,0.0,134.6794,42.4229,18.0,73.7244
oracle,opengrok,oracle/opengrok,4791,302,13.25,1148,71477,5.2927,3.0,6.7982,1.6272,1.0,1.2893,78.4416,1.0,1076.929,62.2622,24.0,114.3898
ronmamo,reflections,ronmamo/reflections,4773,3,12.98,197,4782,2.7716,1.0,5.432,1.1523,1.0,0.5009,13.6599,0.0,71.1835,24.2741,8.0,41.792
deepjavalibrary,djl,deepjavalibrary/djl,4795,38,6.44,1668,96934,6.5234,5.0,5.5954,1.4646,1.0,0.9742,132.8831,3.0,1686.7287,58.1139,31.0,91.0833
tencentmusic,supersonic,tencentmusic/supersonic,4785,15,2.83,1138,46554,6.2882,4.0,7.317,1.29,1.0,0.6248,46.0202,0.0,654.0951,40.9086,14.0,83.5035
tuguangquan,mybatis,tuguangquan/mybatis,4773,0,11.43,1039,39118,3.7344,2.0,5.1699,1.3041,1.0,0.8207,21.4678,0.0,204.1124,37.6497,17.0,74.1505
dromara,dynamic-tp,dromara/dynamic-tp,4762,19,4.25,566,18457,4.8428,4.0,4.3563,1.2898,1.0,0.6705,17.742,0.0,138.6763,32.6095,15.0,77.4444
TheoKanning,openai-java,TheoKanning/openai-java,4757,22,5.57,165,2783,5.3879,4.0,8.2091,1.0848,1.0,0.3718,15.5515,0.0,182.3202,16.8667,7.0,35.5147
etsy,AndroidStaggeredGrid,etsy/AndroidStaggeredGrid,4752,7,12.33,36,4010,5.8611,3.0,6.4942,1.8611,1.5,1.3975,155.8889,0.5,657.6445,111.3889,27.5,322.1246
saiwu-bigkoo,Android-ConvenientBanner,saiwu-bigkoo/Android-ConvenientBanner,4758,0,11.3,29,848,4.8276,3.0,5.2658,1.4483,1.0,0.674,7.7931,1.0,19.8031,29.2414,15.0,38.4346
kyleduo,SwitchButton,kyleduo/SwitchButton,4747,0,11.58,27,1543,4.3704,2.0,6.0989,1.4074,1.0,0.6242,82.4815,0.0,409.0921,57.1481,9.0,174.6303
hongyangAndroid,baseAdapter,hongyangAndroid/baseAdapter,4723,0,10.69,50,1563,4.88,3.0,4.8068,1.32,1.0,0.5455,18.28,0.0,76.576,31.26,12.0,39.6917
nisrulz,android-tips-tricks,nisrulz/android-tips-tricks,4748,0,9.62,1,22,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0
saysky,ForestBlog,saysky/ForestBlog,4721,0,8.5,86,2437,5.1047,3.0,5.2341,1.0698,1.0,0.2548,12.686,0.0,45.7753,28.3372,18.5,32.7278
google,cameraview,google/cameraview,4711,0,9.68,72,2983,4.8333,3.0,5.2757,1.2639,1.0,0.5772,12.125,0.0,33.9284,41.4306,13.0,82.378
stleary,JSON-java,stleary/JSON-java,4716,25,15.3,104,13048,3.1442,1.0,5.4463,1.1923,1.0,0.5896,368.6538,1.0,1694.8973,125.4615,21.5,307.973
zlt2000,microservices-platform,zlt2000/microservices-platform,4744,30,7.09,351,7665,6.3561,5.0,5.7236,1.2507,1.0,0.5846,6.4359,0.0,31.2274,21.8376,10.0,30.2799
spring-attic,spring-security-oauth,spring-attic/spring-security-oauth,4699,0,14.7,999,35204,6.0641,4.0,6.4629,1.6026,1.0,1.569,13.3994,0.0,72.7428,35.2392,14.0,55.1421
cjlin1,libsvm,cjlin1/libsvm,4697,0,12.58,34,3152,3.2647,1.5,3.9802,1.3529,1.0,0.8705,19.6176,0.0,98.5614,92.7059,6.0,202.9302
karma9874,AndroRAT,karma9874/AndroRAT,4702,0,6.05,55,1793,2.8545,2.0,3.734,1.1636,1.0,0.3699,1.3818,0.0,4.9598,32.6,11.0,53.617
hansonwang99,Spring-Boot-In-Action,hansonwang99/Spring-Boot-In-Action,4690,0,7.2,134,2714,3.8657,3.0,3.3386,1.1194,1.0,0.424,6.0075,0.0,15.5503,20.2537,8.5,24.5581
jgilfelt,chuck,jgilfelt/chuck,4687,5,9.17,42,1698,5.8333,4.0,6.4547,1.381,1.0,0.6529,55.7381,0.5,278.1765,40.4286,17.5,54.4217
zq2599,blog_demos,zq2599/blog_demos,4761,0,9.0,1878,53030,4.0075,3.0,4.2633,1.1922,1.0,0.6718,14.6826,0.0,118.7504,28.2375,11.0,63.2218
bepass-org,oblivion,bepass-org/oblivion,4684,12,2.17,58,2641,5.6379,4.0,5.9847,1.4828,1.0,0.7008,11.6207,0.5,46.4137,45.5345,14.5,85.6759
bytedeco,javacpp,bytedeco/javacpp,4686,14,11.97,215,27090,5.9116,5.0,6.9655,2.0093,2.0,1.2389,151.1395,1.0,381.5665,126.0,43.0,453.6277
Heeexy,SpringBoot-Shiro-Vue,Heeexy/SpringBoot-Shiro-Vue,4673,0,8.39,27,633,5.7778,6.0,4.81,1.4074,1.0,0.9529,9.4444,0.0,30.0559,23.4444,13.0,24.7152
pardom-zz,ActiveAndroid,pardom-zz/ActiveAndroid,4671,0,13.4,62,3158,3.9032,3.0,3.7361,1.9355,2.0,1.2684,22.0806,3.0,79.4589,50.9355,22.0,63.3457
nICEnnnnnnnLee,BilibiliDown,nICEnnnnnnnLee/BilibiliDown,4667,81,7.21,262,19863,4.2099,2.0,4.2388,1.7214,1.0,1.3516,42.187,1.0,306.9453,75.813,39.0,109.6865
grobidOrg,grobid,grobidOrg/grobid,4775,23,13.57,570,64783,5.2158,3.0,7.1978,1.2456,1.0,0.5828,139.3754,0.0,2116.9151,113.6544,39.5,254.3574
ReChronoRain,HyperCeiler,ReChronoRain/HyperCeiler,4650,10,2.45,1756,59615,3.9408,3.0,5.3557,1.4966,1.0,0.8958,14.8639,0.0,90.3173,33.9493,10.0,62.2941
discord-jda,JDA,discord-jda/JDA,4654,123,10.33,1437,72787,8.8365,6.0,12.5713,1.8191,1.0,1.1865,129.1218,3.0,1324.5215,50.6521,23.0,101.0556
wdullaer,MaterialDateTimePicker,wdullaer/MaterialDateTimePicker,4640,54,11.26,73,7536,6.589,5.0,7.3631,1.4658,1.0,0.6211,127.6301,1.0,458.5719,103.2329,31.0,192.9948
rememberber,WePush,rememberber/WePush,4638,58,8.8,276,22791,6.7754,2.5,7.7609,1.5797,1.0,1.4661,25.1486,1.0,111.5012,82.5761,37.0,122.9553
CalebFenton,simplify,CalebFenton/simplify,4638,9,12.23,311,21150,7.9164,7.0,6.5064,1.4019,1.0,0.8425,20.7428,0.0,75.8588,68.0064,36.0,87.9724
981011512,--,981011512/--,4683,0,5.81,5069,338075,3.5419,2.0,7.1688,2.9108,2.0,52.9795,440.4263,0.0,5564.137,66.6946,10.0,488.407
chewiebug,GCViewer,chewiebug/GCViewer,4635,5,14.46,291,20453,5.2749,4.0,4.7948,2.1649,1.0,2.3317,49.0447,1.0,236.299,70.2852,36.0,100.384
zongzibinbin,MallChat,zongzibinbin/MallChat,4634,0,3.07,444,9260,6.2365,5.0,6.5496,1.2027,1.0,0.4644,4.4392,0.0,14.9297,20.8559,10.0,43.4338
linhaojun857,aurora,linhaojun857/aurora,4632,0,3.64,299,4956,7.2876,6.0,6.5809,1.1171,1.0,0.3607,7.2575,0.0,79.9561,16.5753,8.0,26.6578
romandanylyk,PageIndicatorView,romandanylyk/PageIndicatorView,4628,14,9.63,72,3532,5.5139,4.0,5.5151,1.5,1.0,0.7071,22.8056,1.0,160.8668,49.0556,26.5,73.9416
Kodezi,Chronos,Kodezi/Chronos,5004,0,0.72,5,78,3.2,2.0,1.6,1.0,1.0,0.0,0.4,0.0,0.4899,15.6,11.0,6.9166
yasserg,crawler4j,yasserg/crawler4j,4625,3,14.27,83,4736,5.2771,4.0,5.6745,1.3133,1.0,0.5581,55.8916,1.0,329.0664,57.0602,32.0,71.1678
RedSpider1,concurrent,RedSpider1/concurrent,4616,0,7.43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gabrielemariotti,cardslib,gabrielemariotti/cardslib,4631,27,12.55,811,32257,5.9014,4.0,6.1045,2.1776,1.0,2.0368,18.6202,0.0,104.3181,39.7744,13.0,69.2568
JZ-Darkal,AndroidHttpCapture,JZ-Darkal/AndroidHttpCapture,4615,1,9.48,317,15900,4.5868,3.0,6.3382,1.4132,1.0,0.792,37.0032,0.0,258.8953,50.1577,19.0,85.7068
ant-media,Ant-Media-Server,ant-media/Ant-Media-Server,4657,68,9.11,1191,106479,5.6893,2.0,9.4011,1.33,1.0,0.7349,164.1713,1.0,2126.9759,89.403,19.0,259.1904
Netflix,ribbon,Netflix/ribbon,4615,41,13.23,710,21788,4.3859,2.0,5.9683,1.2662,1.0,0.6615,13.3775,0.0,99.8563,30.6873,10.0,59.074
apache,rocketmq-externals,apache/rocketmq-externals,4617,0,9.07,275,11795,5.7491,4.0,5.8904,1.2509,1.0,0.5582,16.4509,0.0,88.1207,42.8909,25.0,50.6174
objectbox,objectbox-java,objectbox/objectbox-java,4606,54,9.21,396,24758,5.1389,4.0,5.2023,1.7652,1.0,1.8376,105.6162,0.0,491.5996,62.5202,17.5,119.3559
hussien89aa,AndroidTutorialForBeginners,hussien89aa/AndroidTutorialForBeginners,4592,0,9.54,129,3957,4.5116,4.0,4.6357,1.4961,1.0,0.7274,2.7442,0.0,6.8904,30.6744,15.0,46.1308
SplashCodes,JAViewer,SplashCodes/JAViewer,4590,10,9.89,179,6309,5.7877,4.0,6.3342,1.5978,1.0,0.9125,11.648,0.0,73.5882,35.2458,15.0,84.9738
javagrowing,JGrowing,javagrowing/JGrowing,4547,0,7.12,19,329,1.5263,1.0,1.6341,1.0,1.0,0.0,1.9474,1.0,4.2855,17.3158,11.0,22.7343
tiann,epic,tiann/epic,4541,5,8.88,149,5127,3.2282,3.0,5.2701,1.6242,1.0,0.8231,30.396,1.0,219.1598,34.4094,12.0,64.9701
SPLWare,esProc,SPLWare/esProc,4690,0,4.42,2659,428527,6.5788,5.0,7.4865,2.1674,2.0,1.4965,97.6367,1.0,879.435,161.161,45.0,516.5392
puniverse,quasar,puniverse/quasar,4563,18,13.04,1349,52770,3.3862,2.0,5.1063,1.4974,1.0,1.1702,35.997,0.0,433.5199,39.1179,12.0,92.0816
chentao0707,SimplifyReader,chentao0707/SimplifyReader,4557,0,10.65,632,34709,4.1361,2.0,6.295,1.3797,1.0,0.8705,60.2943,0.0,341.6442,54.9193,13.0,154.8266
danielzeller,Depth-LIB-Android-,danielzeller/Depth-LIB-Android-,4539,0,9.95,108,3771,3.787,2.0,4.5827,1.213,1.0,0.4314,13.3519,0.0,54.2624,34.9167,6.0,72.901
square,sqlbrite,square/sqlbrite,4536,9,11.14,106,3329,4.6981,2.0,5.8506,1.3585,1.0,0.7671,4.3019,0.0,27.8094,31.4057,9.0,75.8177
phishman3579,java-algorithms-implementation,phishman3579/java-algorithms-implementation,4530,0,12.39,439,31758,3.5672,3.0,3.5549,1.5831,1.0,2.1708,7.0501,0.0,24.5803,72.3417,31.0,128.7069
h2database,h2database,h2database/h2database,4597,24,11.0,1675,231740,6.0245,4.0,10.4787,2.0567,2.0,1.5348,176.9946,3.0,1600.7264,138.3522,51.0,309.294
zhanghai,Douya,zhanghai/Douya,4552,11,10.19,1244,44643,5.6037,4.0,6.3509,1.6254,1.0,1.0868,28.3979,1.0,198.5191,35.8867,15.0,56.0938
201206030,novel-plus,201206030/novel-plus,4540,36,5.94,414,15510,6.4807,3.0,7.2916,1.2077,1.0,0.4614,46.157,1.0,123.5894,37.4638,24.0,41.4974
jdamcd,android-crop,jdamcd/android-crop,4525,6,12.08,31,1676,4.2903,1.0,5.4725,1.3871,1.0,0.6564,26.4839,0.0,79.1262,54.0645,10.0,86.982
alibaba,dexposed,alibaba/dexposed,4517,0,10.78,36,2414,2.9167,2.0,3.1918,1.6944,1.0,1.3296,82.8333,0.0,418.4781,67.0556,19.0,155.6079
castorflex,SmoothProgressBar,castorflex/SmoothProgressBar,4514,9,12.36,48,2208,4.8542,3.0,4.9497,1.2292,1.0,0.4672,26.3125,0.0,94.3409,46.0,12.5,94.3469
IoT-Technology,IoT-Technical-Guide,IoT-Technology/IoT-Technical-Guide,4521,0,7.02,294,5235,4.085,3.0,4.3201,1.2483,1.0,0.491,3.1633,0.0,12.0436,17.8061,9.0,24.3032
Flipboard,bottomsheet,Flipboard/bottomsheet,4503,10,10.96,68,2578,4.8971,3.0,5.864,1.3676,1.0,0.6621,27.6618,0.0,175.2131,37.9118,7.0,87.4974
go-lang-plugin-org,go-lang-idea-plugin,go-lang-plugin-org/go-lang-idea-plugin,4540,21,15.61,1132,45363,8.1201,6.0,8.8665,2.0733,2.0,1.3268,110.0292,3.0,2011.4471,40.0733,18.0,132.6626
jacoco,jacoco,jacoco/jacoco,4528,50,13.75,962,37498,4.238,3.0,4.4191,1.4387,1.0,0.6937,12.4168,0.0,79.2762,38.9792,17.0,56.7481
JakeWharton,NineOldAndroids,JakeWharton/NineOldAndroids,4469,0,14.34,138,7585,4.2899,2.0,4.3426,1.4348,1.0,0.7118,30.1449,0.0,107.6797,54.9638,11.0,96.5842
water8394,flink-recommandSystem-demo,water8394/flink-recommandSystem-demo,4474,0,6.9,77,1835,3.7273,3.0,3.7543,1.0779,1.0,0.268,6.4026,1.0,15.519,23.8312,16.0,26.084
s4kibs4mi,java-developer-roadmap,s4kibs4mi/java-developer-roadmap,4460,0,6.97,1,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
Meituan-Dianping,Robust,Meituan-Dianping/Robust,4464,13,9.07,42,2953,3.5238,2.0,3.5806,1.2619,1.0,0.5372,17.3571,3.5,35.2216,70.3095,34.0,89.2969
flutter-webrtc,flutter-webrtc,flutter-webrtc/flutter-webrtc,4455,138,8.09,90,8455,6.6556,3.0,11.4941,1.2222,1.0,0.6795,40.0,0.0,232.8495,93.9444,16.5,262.5514
HotBitmapGG,bilibili-android-client,HotBitmapGG/bilibili-android-client,4484,1,9.86,559,38892,4.9213,3.0,6.3079,1.8175,1.0,1.1701,42.7907,3.0,172.9478,69.5742,30.0,111.3891
janishar,android-mvp-architecture,janishar/android-mvp-architecture,4431,0,9.2,146,4049,5.8151,3.0,6.5082,1.3836,1.0,0.8046,14.1096,0.0,35.9,27.7329,12.0,32.4061
square,android-times-square,square/android-times-square,4424,0,13.19,47,2286,4.5532,4.0,5.5956,1.234,1.0,0.5912,25.8723,0.0,133.0699,48.6383,8.0,122.167
dreamhead,moco,dreamhead/moco,4429,1,13.48,584,17905,5.8116,5.0,5.7501,1.5394,1.0,0.8532,34.5702,1.0,362.9824,30.6592,15.0,54.0274
AsamK,signal-cli,AsamK/signal-cli,4426,111,10.92,524,29788,7.0153,4.0,11.8975,1.542,1.0,2.0759,63.0,1.0,460.4893,56.8473,18.0,131.5832
